phi,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13
0,-0.708811168143809,0.000668336226605707,-0.128811342985204,-0.000600166658914654,0.425346810789018,-0.00170402927007189,1.02827971291751,-0.00219100140356897,1.33004618429527,-0.00144561636175013,0.894094520199809,-0.000340148668574691,0.296181244798466
0.0634665182543393,-0.708055007036119,0.0573398050312762,-0.129566923724968,0.00559844575370179,0.423431080399466,-0.0374250642945002,1.02685135034387,-0.064018097205874,1.33173393867649,-0.0508026979975261,0.897345070206183,-0.0215061392554074,0.298008326403417
0.126933036508679,-0.701793869754092,0.119058171017598,-0.129355568430684,0.0113823824131678,0.420767484584086,-0.078133710701278,1.02311995906797,-0.13391763159142,1.3298494681254,-0.106814774426711,0.897019681001164,-0.0456109854907342,0.295547209334441
0.190399554763018,-0.691232038884235,0.179384583673173,-0.128809853773011,0.0168325880320652,0.416476622814718,-0.118978379225238,1.0167303276479,-0.204862903625357,1.32582064457629,-0.164504245424269,0.895807212505683,-0.0703504666676661,0.29115392286951
0.253866073017357,-0.676858818500464,0.237542379272215,-0.127897210488561,0.0217894100919003,0.410635258961739,-0.159749406335663,1.00756725837114,-0.276755514499811,1.31920608318944,-0.224177387961471,0.893614992090649,-0.0959538897957969,0.28523944479366
0.317332591271696,-0.659090179798124,0.293103769321423,-0.126563635505716,0.0260447688156362,0.403348614078553,-0.200454490054736,0.995510133402986,-0.349616457611148,1.30932616594684,-0.286110211780424,0.890015721469205,-0.122696450943999,0.278024302888152
0.380799109526036,-0.638348424146716,0.345623771103508,-0.124815019514522,0.0293860874023844,0.394674484653052,-0.240989454679011,0.980458081404546,-0.423113472115633,1.29556234662606,-0.35016726863345,0.884477255788798,-0.150716731913296,0.269677866545856
0.444265627780375,-0.614824758920073,0.39510869324783,-0.122720016627935,0.0316332255474264,0.384504529887964,-0.281533919304406,0.962169471853234,-0.497333712242953,1.27728885912735,-0.416478742440013,0.876331425656269,-0.180304500120858,0.260211243521168
0.507732146034714,-0.588570262092217,0.441572537580985,-0.120412638368563,0.0326181924653679,0.372589721289212,-0.322268100214824,0.940283151113037,-0.572359552891879,1.25388069114498,-0.485104299289641,0.864773043061294,-0.211722541868171,0.249496787210244
0.571198664289053,-0.559840324743822,0.484571600333027,-0.118099061605254,0.0322266870132454,0.358706411501967,-0.362912152014397,0.914575579272596,-0.647496614175593,1.22498915964827,-0.555310436373229,0.84904338854847,-0.244802644602223,0.23740129288465
0.634665182543393,-0.528634189033168,0.524097543876573,-0.115982547406423,0.0304531349113176,0.34246910805829,-0.403466178996637,0.884547175815668,-0.72270660779943,1.19007068748344,-0.626888653745461,0.828260575231288,-0.279487670047739,0.223610017382079
0.698131700797732,-0.495039451026161,0.56000398074035,-0.114274701810405,0.027394319003146,0.32350051806578,-0.443687809828934,0.849689833673653,-0.797671562963258,1.1486310417743,-0.699316709727628,0.801585220326606,-0.315428494184623,0.207782919067304
0.761598219052071,-0.459255410488094,0.592162062744358,-0.113104638239872,0.0233318954889958,0.301528119290909,-0.483093495492036,0.80951381161528,-0.871892448943336,1.10020165844575,-0.771855085646871,0.768330492123352,-0.351926005550623,0.189652853162895
0.82506473730641,-0.421611774693219,0.620508062157356,-0.112480977717319,0.0187153226923019,0.27646122864429,-0.520971723414156,0.763639473582108,-0.944673413759384,1.04439836976396,-0.843546915230215,0.728057509050157,-0.387968895306834,0.169123687257554
0.88853125556075,-0.382618678088856,0.645093763119911,-0.112190780777836,0.0141734268825154,0.248554939837376,-0.556363236795635,0.711960761298887,-1.01506918153826,0.981045932551194,-0.913186244213855,0.680758111474488,-0.422226515367109,0.146455488696222
0.951997773815089,-0.342938974598945,0.666117034247808,-0.111758818441788,0.0104203791537253,0.218500778875423,-0.588181144644065,0.654792527496144,-1.08193910213093,0.910311106209395,-0.979394127048749,0.626973577143688,-0.453229725849167,0.122375190303932
1.01546429206943,-0.303299447596977,0.683910109968668,-0.11048009464138,0.00809801310423723,0.187408388757617,-0.615428866074994,0.592933636050198,-1.14409098090453,0.832778094117373,-1.04078644618556,0.567805634646927,-0.479663223914136,0.0980556319167479
1.07893081032377,-0.26435382147437,0.698877702191703,-0.107558576378657,0.00759611253876937,0.156618570586592,-0.637462558856956,0.527564594067519,-1.20048374251866,0.749389612871757,-1.096197871502,0.504747726730904,-0.500692205364739,0.0748984007095837
1.14239732857811,-0.22656716672376,0.711414784070589,-0.10229276854594,0.00894745704131232,0.127421136235982,-0.654161583423355,0.460009480527612,-1.25038207700965,0.661267478918142,-1.14484836298492,0.439395177333582,-0.516151502442906,0.054211407639714
1.20586384683245,-0.190159981902453,0.721840861137585,-0.0942432557868931,0.0118356011137697,0.100775958446711,-0.665940331652829,0.391453731576338,-1.29340261453141,0.569487871487986,-1.18638732837301,0.373132420365149,-0.526529736534593,0.0369043853405721
1.26933036508679,-0.155268982941066,0.730360983533826,-0.0833010415795617,0.0157046536495294,0.07730324046641,-0.673564994905187,0.323035342193828,-1.32931462286587,0.475293194258462,-1.22068605399375,0.307222989360667,-0.532727748442578,0.0234526058126655
1.33279688334112,-0.121533233261274,0.737175043644938,-0.0695479614638813,0.0199331045019214,0.0569310300931399,-0.678064417032005,0.254853307252368,-1.35839614983793,0.378776563221697,-1.24815131755436,0.241847845017041,-0.535904332247465,0.0137006871444694
1.39626340159546,-0.0889520026740401,0.742328916632026,-0.053446948098819,0.0238681786762644,0.0395032395651246,-0.680388317550403,0.187576887743701,-1.38056061525033,0.281094659650833,-1.26886471256449,0.177669509333251,-0.537129541655307,0.00727003712377631
1.4597299198498,-0.0571695251980884,0.745901317540323,-0.0354826477980801,0.0269923269293216,0.0244067662913083,-0.681405239067858,0.121008055348916,-1.39600526395266,0.182408222317442,-1.28317159118924,0.114463988318128,-0.537341789463562,0.00343927363596581
1.52319643810414,-0.0259098731429949,0.747927585999596,-0.0162652806231987,0.0289140062704254,0.0109118432276857,-0.68175765959605,0.0549786212540067,-1.40480764271296,0.0830909485103827,-1.29127505394948,0.0519926035069769,-0.537224847366222,0.00136688042690332
1.58666295635848,0.00524151594868535,0.748424274792569,0.00359967098873969,0.0294002461817312,-0.00190253977205648,-0.681829875515575,-0.0110666421021821,-1.40700733154236,-0.0169248935245485,-1.29329440044135,-0.010388435033839,-0.537182318045492,8.67889423108742e-05
1.65012947461282,0.0365769727953607,0.747378495144613,0.0234169300509377,0.0283759813204657,-0.0149427717701556,-0.681714416769078,-0.077458202551538,-1.40253060859232,-0.117312170513581,-1.2891834790705,-0.073122455710619,-0.537314689200039,-0.00138444159015081
1.71359599286716,0.0682508625434473,0.744777176831976,0.0424024938068886,0.0259580774099322,-0.0290522284171851,-0.681207923371163,-0.144218270547986,-1.39133221832697,-0.217282141215952,-1.27885628522483,-0.136358217904326,-0.53741093206583,-0.00402254558761883
1.7770625111215,0.100418132093788,0.740615632046127,0.0598297813640701,0.0224572171316938,-0.0449848207760817,-0.679830688528378,-0.211316735902667,-1.37344402233709,-0.316071295903722,-1.26223905097946,-0.200168886526839,-0.536961379052923,-0.00872457462928855
1.84052902937584,0.133580563147641,0.734824631942845,0.0752171282296549,0.0183036045727153,-0.0635493381652165,-0.676836368914223,-0.279346892378646,-1.34866406856847,-0.413975212985274,-1.23899771237571,-0.265186646540518,-0.535172797633376,-0.0163460221001786
1.90399554763018,0.167886766721165,0.727349830104058,0.0880180707384817,0.0140912322716162,-0.0851756025267417,-0.671299812226575,-0.348018444581185,-1.31693586777324,-0.51019898677534,-1.20891134896851,-0.331151750517426,-0.531027564433477,-0.0275029531971696
1.96746206588452,0.203406094583276,0.718115803836694,0.0979092175969912,0.0104821846390774,-0.109925136113554,-0.662250438814017,-0.416745293773949,-1.27831698228588,-0.603822831716554,-1.17187572351998,-0.397451778428642,-0.523425424118236,-0.042445720279837
2.03092858413886,0.240333428208145,0.706929757844813,0.104880870650861,0.00808969105057523,-0.137624623538286,-0.648740773282085,-0.485074406065801,-1.23272352822183,-0.694378624619319,-1.12768567896482,-0.463536629359328,-0.51128087089627,-0.0611061029200473
2.0943951023932,0.278708439725283,0.693480184883889,0.109204374800213,0.00738788057585093,-0.167668038141021,-0.630031738178322,-0.552201786916417,-1.18017958829208,-0.781160400427576,-1.07629372599628,-0.528436500941867,-0.493742407264698,-0.0829423204426618
2.15786162064753,0.317984166152778,0.677496212426051,0.111404628553571,0.00857830905556409,-0.198761390903546,-0.606009599840212,-0.616446877183852,-1.12151706978929,-0.862516644357118,-1.0185194687741,-0.590256549641757,-0.470652650527274,-0.106735017934074
2.22132813890187,0.357718351349967,0.658535726007308,0.112260390992518,0.0114819866426494,-0.229637188560163,-0.576961423213676,-0.676695181503586,-1.05746464610925,-0.937616394217754,-0.955170449552961,-0.647583509448948,-0.442401425418857,-0.131153471046701
2.28479465715621,0.397219611625971,0.636209514483681,0.112555944376865,0.0155959404421837,-0.259014714659968,-0.543688579704818,-0.731896562519352,-0.989134724045007,-1.00564828455268,-0.887511049311253,-0.699050339310996,-0.410034522082104,-0.154849320866808
2.34826117541055,0.435653786377628,0.610319432821893,0.112917188314464,0.0202168163668775,-0.285851051719555,-0.507368633444969,-0.781286347766433,-0.917948963794628,-1.06600873794996,-0.817171932251354,-0.743629268436576,-0.375074284198784,-0.176739034948077
2.41172769366489,0.472646145621724,0.58056498370391,0.113720990924404,0.024677066381826,-0.309790365373282,-0.468836043982223,-0.825025807758153,-0.844547176601067,-1.11904509609943,-0.745047258214366,-0.781270190155665,-0.338748727781169,-0.196412694691213
2.47519421191923,0.507644883910842,0.547007702617199,0.115089175065644,0.028396346246759,-0.330640895433048,-0.429061254191604,-0.863191955026464,-0.769976630221574,-1.1648425421812,-0.67244605866099,-0.812021647746284,-0.302375021765404,-0.21369475932117
2.53866073017357,0.540365603322974,0.509745111415234,0.116961060261711,0.0309849788042159,-0.348569615247659,-0.388678274376072,-0.896211822409558,-0.694868657217678,-1.20381754120655,-0.600255451729642,-0.836423458755235,-0.266858060731718,-0.228756023517864
2.60212724842791,0.570656617086932,0.468920514078413,0.119166735995912,0.0322355399082071,-0.363902207305025,-0.348075674347501,-0.92459148871383,-0.619651246389576,-1.23645224121415,-0.529132487297455,-0.855235101018173,-0.232759273508123,-0.241905359829068
2.66559376668225,0.598351930794099,0.424842113288068,0.121481709014146,0.0320987488773626,-0.376974022711708,-0.307583136705343,-0.948742298717939,-0.544871420788905,-1.26315434864618,-0.459788364260297,-0.869270557424294,-0.200451864742393,-0.253432370977996
2.72906028493659,0.623562156672768,0.377372803939545,0.123712791626035,0.0306267348590263,-0.388210663902897,-0.267011522758077,-0.969235210144379,-0.470278779272268,-1.28458320520532,-0.392132063696463,-0.879473799157225,-0.169794018375716,-0.263671417182161
2.79252680319093,0.646096958377434,0.32677733842569,0.125678252010376,0.0279492433066381,-0.397836261899699,-0.226474609695742,-0.986321634690742,-0.396294489498307,-1.3011550055563,-0.32662401189824,-0.886601644820899,-0.140803939037249,-0.272745990171423
2.85599332144527,0.665704454827939,0.273415095070661,0.127258509566887,0.0242532511888498,-0.405981090646229,-0.186090249332216,-1.00020476830437,-0.323368708852226,-1.31338662671128,-0.263646706162068,-0.891359770068908,-0.113423781330961,-0.280669150681734
2.91945983969961,0.682246867686436,0.217132134722767,0.128412577642909,0.0197208057120397,-0.412752400623513,-0.145534341250166,-1.01116758049915,-0.251131794413998,-1.32198433761441,-0.202784926427834,-0.894406140772219,-0.0872394534781611,-0.287427931151417
2.98292635795395,0.695246958982884,0.158628690807948,0.12915786496391,0.0145754296142283,-0.418044503095209,-0.105064800234843,-1.01927763722056,-0.180123256065245,-1.32756655485957,-0.144306101816628,-0.896226380557023,-0.0621991791279947,-0.292812019801273
3.04639287620828,0.704367670757182,0.0982058912131333,0.129566316105666,0.00901124987458906,-0.421760974784177,-0.0645409981008153,-1.02468502014997,-0.110026572536094,-1.33083180864042,-0.0876560417125904,-0.897230490903712,-0.0379352178216238,-0.29663771023344
3.10985939446262,0.709249921518014,0.0365018465653211,0.129730419212758,0.00319367565597338,-0.423759811207123,-0.0239812990586575,-1.02747341431867,-0.040587965743718,-1.3323430257645,-0.0322541633551384,-0.897689078848968,-0.0141718147661581,-0.298703984667995
3.17332591271696,0.709663861864556,-0.0259683623825633,0.129712912988486,-0.00272673857988785,-0.423942997410991,0.0167740856339049,-1.02768579882198,0.0288784335517502,-1.33243385374881,0.0228936732686518,-0.897746498722762,0.00951851758064714,-0.298881503557956
3.2367924309713,0.705518887315332,-0.0883718383595684,0.129529063932032,-0.00855470671107274,-0.422267851297828,0.0577380811174096,-1.02529415154672,0.0988519727197439,-1.33112274080839,0.0786540092327498,-0.897399325773323,0.0335166236227264,-0.29712914666838
3.30025894922564,0.696997897762659,-0.149579364223372,0.129123906398774,-0.0141707316660095,-0.418813966129441,0.0986418191714657,-1.02025178453497,0.169417047490144,-1.32811522165398,0.135551230602875,-0.896519559270235,0.0579393311101064,-0.293553751760459
